Fuel_consumption,Engine_speed,Engine_coolant_temperature,Current_Gear,Transmission oil temperature,Vehicle_speed,Acceleration_speed_-_Longitudinal,Indication_of_brake_switch_ON/OFF,Time(s)
268.8,929,95,0,87,0,-8.5,1,1
243.2,726,95,0,87,0,0.1,1,2
217.6,685,95,0,87,0,0.1,1,3
204.8,675,95,0,87,0,0.1,1,4
217.6,716,95,0,87,0,0.1,1,5
243.2,740,95,0,87,0,0,2,6
217.6,682,94,14,87,0,0,2,7
294.4,670,94,14,87,0,0,2,8
332.8,655,94,14,87,0,0,2,9
358.4,648,94,14,87,0,-0.1,2,10
409.6,659,93,14,86,0,-0.2,2,11
435.2,663,93,14,86,0,-0.1,2,12
384,659,93,14,86,0,0,2,13
396.8,668,93,14,86,1,-0.1,2,14
473.6,742,93,14,86,2,-0.1,2,15
473.6,759,93,14,86,3,0,2,16
473.6,761,93,14,86,3,-0.2,2,17
473.6,766,93,14,86,3,-0.1,2,18
473.6,769,93,14,86,4,-0.1,2,19
473.6,768,93,14,86,4,0,2,20
486.4,767,93,14,86,4,0,2,21
473.6,770,92,14,86,3,0,2,22
486.4,768,92,14,86,3,0.1,2,23
473.6,765,92,14,86,1,0.6,2,24
448,724,92,0,86,0,0.3,2,25
384,673,92,0,86,0,0,2,26
307.2,658,91,0,86,0,0,2,27
307.2,658,91,1,86,0,0,2,28
396.8,673,91,1,86,0,0.4,1,29
435.2,726,90,1,86,0,0.3,2,30
460.8,747,90,1,86,2,0.1,2,31
460.8,758,90,1,86,2,0,1,32
448,763,90,1,86,3,0.1,1,33
486.4,796,90,1,86,3,0,1,34
588.8,978,90,1,86,4,0.2,1,35
486.4,891,89,1,86,4,-0.1,1,36
550.4,1029,89,1,86,5,0.3,1,37
422.4,854,88,1,86,4,-0.1,1,38
524.8,975,88,1,86,5,0.2,1,39
512,999,87,1,86,5,0.2,1,40
524.8,1064,87,1,86,5,0,1,41
742.4,1277,87,1,86,6,0.4,1,42
832,1453,87,1,86,8,0.4,1,43
844.8,1643,87,1,86,9,0.4,1,44
627.2,1610,87,1,86,10,0,1,45
409.6,1112,86,1,86,10,-0.1,1,46
960,1666,86,1,86,11,0.4,1,47
1190.4,1786,86,2,86,13,0.7,1,48
1254.4,1692,86,2,86,15,0.7,1,49
896,1717,85,2,86,17,0.2,1,50
627.2,1664,85,2,86,17,-0.1,1,51
460.8,1466,85,2,86,17,-0.4,1,52
921.6,1634,85,2,86,16,0.2,1,53
1753.6,2011,85,2,86,19,1,1,54
1228.8,2072,85,2,87,21,0.4,1,55
537.6,1450,85,3,87,21,-0.2,1,56
512,1306,85,3,87,21,-0.2,1,57
486.4,1262,85,3,87,21,-0.2,1,58
460.8,1206,85,3,87,20,-0.2,1,59
435.2,1138,85,3,87,19,-0.2,1,60
435.2,1080,85,3,87,19,-0.3,1,61
537.6,1169,85,3,87,18,-0.2,1,62
1100.8,1507,85,3,87,18,0.2,1,63
1792,1766,85,3,87,19,0.7,1,64
2073.6,1858,85,3,87,20,1,1,65
2176,1898,85,3,87,21,1.1,1,66
2252.8,1956,85,3,87,22,1.1,1,67
2316.8,2010,85,3,87,23,1.1,1,68
2393.6,2076,85,3,87,25,1.1,1,69
2483.2,2129,85,3,87,26,1.1,1,70
2534.4,2180,85,3,87,28,1.1,1,71
1600,2028,85,3,87,29,0.6,1,72
742.4,1830,85,3,87,28,0,1,73
819.2,1797,85,3,87,27,0.1,1,74
857.6,1776,85,3,87,26,0.1,1,75
1049.6,1824,86,3,87,27,0.3,1,76
1920,2035,86,3,87,28,0.7,1,77
2457.6,2212,86,3,87,30,1,1,78
793.6,1886,86,3,87,30,-0.2,2,79
985.6,1464,86,4,87,27,-0.7,2,80
755.2,1245,86,4,87,23,-0.6,1,81
1536,1803,86,3,87,22,0.6,1,82
2124.8,1965,86,3,87,23,1,1,83
1075.2,1645,86,3,87,23,0.4,1,84
1907.2,1897,86,3,87,23,0.9,1,85
1625.6,1813,86,3,87,23,0.8,1,86
832,1536,86,3,87,21,0.3,1,87
1856,1842,86,3,87,21,0.9,1,88
2227.2,1960,86,3,87,21,1.1,1,89
2355.2,2045,86,3,87,22,1.3,1,90
2380.8,2061,86,3,87,24,1.2,1,91
1651.2,1882,86,3,87,24,0.8,1,92
665.6,1518,86,3,87,23,0.1,1,93
588.8,1334,86,3,87,20,0,1,94
537.6,1157,86,3,87,17,-0.1,2,95
537.6,996,86,3,87,12,-0.8,2,96
665.6,982,87,3,87,8,0.1,1,97
1766.4,1730,87,1,87,8,1.8,1,98
2380.8,2146,87,1,87,12,2.2,1,99
3187.2,2682,87,1,87,16,2.3,1,100
4006.4,3385,87,1,87,21,2.3,1,101
1651.2,2474,87,2,87,23,0.8,1,102
435.2,1450,87,3,88,20,-0.1,1,103
460.8,1159,87,3,88,17,-0.2,2,104
499.2,978,86,3,88,12,-1.5,2,105
524.8,886,86,3,88,6,-0.3,1,106
563.2,958,86,1,88,4,0.5,1,107
755.2,1242,86,1,88,5,1.1,1,108
704,1132,86,1,88,5,0.9,1,109
1152,1536,86,1,88,7,1.6,1,110
563.2,1233,86,1,88,7,0.3,1,111
409.6,997,86,1,88,5,-0.1,2,112
448,809,86,1,88,3,-0.6,2,113
486.4,786,87,1,88,0,-0.3,2,114
422.4,702,87,1,88,0,0.2,2,115
409.6,687,87,1,88,0,0.2,2,116
371.2,682,87,1,88,0,0.2,2,117
371.2,678,87,1,88,0,0.2,2,118
384,678,87,1,88,0,0.2,2,119
358.4,673,87,1,88,0,0.2,2,120
448,755,87,1,88,0,0.6,1,121
1024,1353,87,1,88,3,1.6,2,122
